"prix";"surface";"nb_pieces";"nb_chambres";"description";"transaction";"type_bien";"source";"ville";"code_postal"
"615000";"61.0";"3";"2";"**3 pièces lumineux avec balcon** – Immeuble récent – Calme sur jardin – Paris, 20e arrondissement. Entre Saint-Fargeau et La Campagne à Paris, dans un immeuble  livré en 2015, appartement 3 pièces...";"ventes";"appartements";"Pap";"Paris";"75020"
"570000";"77.0";"3";"2";"Appartement 3 pièces  77 m2,  4 ème  et dernier étage  dans une résidence  sécurisée haut de gamme  de 2018  Franco Suisse. Normes  (PMR) à personne à mobilité réduite,  ascenseur, visiophone. 10...";"ventes";"appartements";"Pap";"Nogent-Sur-Marne";"94130"
"499000";"71.0";"3";"2";"Bois-Colombes  Rue Adolphe Guyot.  **Très beau 3 pièces traversant** de 71m², avec 2 chambres, situé au 2 étage dun immeuble 1900 dans une copropriété arborée, à 10 mn de la gare de Bois-Colombes et...";"ventes";"appartements";"Pap";"Bois-Colombes";"92270"
"75000";"20.0";"1";"";"Vend studio idéal investisseur bien situé 20,37 m2 **état neuf** doté d'une belle kitchenette, salle de bains indépendante, **belle vue sur la verdure**.";"ventes";"appartements";"Pap";"école";"78210"
"640000";"65.0";"3";"2";"Appartement 3 pièces avec vue dégagée. Charmant appartement de 65 m² situé au dernier étage (9ème) d'une résidence bien entretenue.  **Points forts** : - Lumineux et traversant - 2 chambres...";"ventes";"appartements";"Pap";"Boulogne-Billancourt";"92100"
"191500";"21.19";"1";"";"Agences et chasseurs merci de vous abstenir, cette annonce se destine exclusivement aux particuliers.  Dans un bon immeuble ancien de la rue Doudeauville, quartier Château Rouge, au cinquième étage...";"ventes";"appartements";"Pap";"Paris";"75018"
"272000";"65.0";"3";"2";"Appartement T3 De 65 m² – à 10 min de Montpellier  Situé au premier étage d'une résidence sécurisée de 2015 avec ascenseur, ce bien offre un cadre de vie moderne et fonctionnel. Entièrement conforme...";"ventes";"appartements";"Pap";"Saint-Jean-De-Védas";"34430"
"319000";"40.07";"2";"1";"Dans le centre de Versailles, Quartier Notre-Dame / Gare Rive Droite, à l'angle du boulevard de la Reine (entre le n°129 et 131) et de la rue du Parc de Clagny : Appartement **en excellent état**, 2...";"ventes";"appartements";"Pap";"Versailles";"78000"
"205000";"76.0";"3";"2";"Duplex  de charme au dernier étage, au cœur du quartier historique, en bord de Loire. Idéal investisseur pour colocation étudiante ou couple avec  ou sans enfant (école maternelle en bas de...";"ventes";"appartements";"Pap";"Orléans";"45000"
"149900";"85.0";"4";"2";"Très bel appartement cosy et refait en 2020, proche commerces de proximité, école, supermarché à 2 pas, gare proche accessible à pied, centre-ville et bords de Loire dans un quartier calme et prisé...";"ventes";"appartements";"Pap";"Blois";"41000"
"655000";"74.0";"3";"2";"**Quartier Pelleport/Saint Fargeau - Bel appartement traversant avec terrasse privative**  Très bien situé dans un quartier vivant et dynamique, avec toutes commodités à proximité immédiate...";"ventes";"appartements";"Pap";"Paris";"75020"
"735000";"115.0";"4";"3";"Appartement **très lumineux et calme** dans un environnement d'exception : gigantesque espaces arborés et résidence sécurisée (vidéosurveillance et gardien). Équivalent 1er étage. Cadre de vie très...";"ventes";"appartements";"Pap";"Garches";"92380"
"163000";"37.0";"2";"1";"Il s'agit d'un appartement **T2 entièrement refait**. Il est situé dans le quartier historique du Panier à proximité de l'hôtel Intercontinental. Il  est **très lumineux, il est orienté au sud sans...";"ventes";"appartements";"Pap";"Marseille";"13002"
"235000";"69.0";"3";"2";"Dans le quartier très recherché de Cherchefeuilles à Savigny-sur-Orge, découvrez ce magnifique DUPLEX lumineux de 78 m² au sol (68,70m² Carrez), situé au 2ᵉ et DERNIER ÉTAGE d’une petite copropriété...";"ventes";"appartements";"Pap";"Savigny-Sur-Orge";"91600"
"599000";"85.0";"4";"3";"Un appartement familial moderne et lumineux sur les hauteurs de Suresnes Découvrez ce superbe appartement T4 de 85m², idéalement situé dans le quartier prisé du Val d'Or, à Suresnes. Parfait pour une...";"ventes";"appartements";"Pap";"Suresnes";"92150"
"460000";"60.22";"3";"2";"Boulogne-Billancourt – 3 pièces 60 m² – Dernier étage avec ascenseur, calme et lumineux. Situé dans le quartier du Point du jour, à deux pas des commerces, écoles et transports, découvrez ce 3 pièces...";"ventes";"appartements";"Pap";"Boulogne-Billancourt";"92100"
"458000";"76.0";"2";"1";"Vous êtes tombé sous le charme d'Uzès et souhaitez poser vos valises… votre pied à terre idéal !  Vous pourrez profiter pleinement des atouts d'une ville qui a su garder son art de vivre à la...";"ventes";"appartements";"Pap";"Uzès";"30700"
"2050000";"164.0";"6";"3";"Paris 16e - Idéalement situé à proximité de l'avenue Henri Martin et du Flandrin, cet appartement propose une vaste entrée, une grande pièce de réception de 47 m2, une cuisine dinatoire séparée, une...";"ventes";"appartements";"Pap";"Paris";"75016"
"145000";"41.67";"2";"1";"Dans résidence de 2016 et située à 100 mètres du parc de Procé (proche angle boulevard des Anglais / boulevard Clovis Constant),  T2 de 41,67 m2 au rez de chaussée (côté rue) comprenant une grande...";"ventes";"appartements";"Pap";"Nantes";"44000"
"188000";"95.0";"4";"3";"Appartement  4 pièces 95 m2. 3 chambres. Parking. Cave. Proche place de Strasbourg avec aire de jeu enfant. Commerce et école à proximité. Transports urbains. Projet de ligne de tramway.";"ventes";"appartements";"Pap";"Tours";"37000"
"200000";"63.0";"3";"2";"T3 de 63 m² situé au 2ème étage d'un immeuble de 2 étages avec ascenseur, à Wattignies proche de la mairie, et de la mairie et de la poste. **Construit en 2017, ce bien est en très bon état...";"ventes";"appartements";"Pap";"Wattignies";"59139"
"998000";"66.0";"3";"2";"3 pièces quartier Hôtel de Ville - Paris 4.  Dans le quartier St-Merry proche métro Hôtel de Ville, ce 3 pièces de 66,27 m2 est très bien agencé sans perte d'espace.  Il a toutes les commodités et...";"ventes";"appartements";"Pap";"Paris";"75004"
"470000";"67.0";"3";"2";"Dans un immeuble récent (2002), appartement situé aux Montalets à Meudon sur Seine dans un secteur calme et recherché proche d'Issy-les-Moulineaux. Etage 3/5 avec ascenseur, exposé Ouest. ...";"ventes";"appartements";"Pap";"Meudon";"92190"
"310000";"71.0";"4";"3";"La Rochelle Appartement 4 pièces 71 m² Résidence très calme en centre-ville / marché  Emplacement recherché en plein cœur de la Rochelle, très calme, dans une résidence arborée, rare en centre-ville.";"ventes";"appartements";"Pap";"Rochelle";"17000"
"489000";"72.0";"3";"2";"Suite à un désistement la veille de la signature de la promesse de vente, nous remettons notre appartement en vente.  Appartement 3/4 pièces au cœur de la résidence Beausoleil, située dans le...";"ventes";"appartements";"Pap";"Saint-Cloud";"92210"
"950000";"133.0";"5";"4";"**Idéal investissement**. **En plein centre de Nice**, dans secteur recherché, à proximité immédiate des commerces et 100 mètres Station tram. Dans un immeuble bourgeois des années 1912,  avec de...";"ventes";"appartements";"Pap";"Nice";"06000"
"160000";"32.0";"1";"";"Très joli studio au quatrième étage avec ascenseur plus une place de parking en sous-sol. Calme et très lumineux. A proximité du nouveau métro d'Aubervilliers et proche toutes commodités.";"ventes";"appartements";"Pap";"Aubervilliers";"93300"
"135000";"40.2";"2";"1";"T2 40,2 m² – Rez-de-jardin – Ravine à Marquet, La Possession  Coup de cœur assuré – Premier achat ou investissement rentable dans un secteur très recherché.   un séjour  une cuisine fonctionnelle ...";"ventes";"appartements";"Pap";"Possession";"97419"
"230000";"39.0";"1";"1";"**Grand T1 - Vue imprenable de 180° sur l'Océan Indien (Pointe au Sel - Pointe des Châteaux) - altitude 86 m.**  VENTE de PARTICULIER à PARTICULIER  Envie d'un cadre de vie tropical, d'un...";"ventes";"appartements";"Pap";"Saint-Leu";"97436"
"319000";"80.0";"3";"2";"Exclusif, un superbe appartement T3 de 80m2 en Hyper Centre de Saint-Pierre. Au 2ème étage sur 5, avec ascenseur, d’une résidence de 2003 récemment ravalée. Vous entrez dans une pièce de vie...";"ventes";"appartements";"Pap";"Saint-Pierre";"97400"
"255000";"74.0";"3";"2";"Vous cherchez un appartement unique à Saint-Denis ? Laissez-vous séduire par ce T3 en duplex, situé au dernier étage d’une résidence calme et sécurisée du Bas de la Rivière. Ici, la vie se prolonge à...";"ventes";"appartements";"Pap";"Saint-Denis";"97400"
"498000";"90.0";"4";"3";"Saint Gilles les bains, Montroquefeuille  T4 / 90m2 / Jardin / Garage  Appartement T4 Rez de jardin, dans résidence sécurisée avec deux accès piéton/voiture et garage fermé attenant.  Au...";"ventes";"appartements";"Pap";"Saint-Paul";"97400"
"205000";"31.0";"1";"";"Situé à moins de 5 minutes à pied des plages de Boucan Canot, découvrez ce vaste studio entièrement rénové en 2022 avec des prestations de qualité.  Les points forts : •	31 m² de surface habitable...";"ventes";"appartements";"Pap";"Saint-Paul";"97400"
"630000";"230.0";"4";"3";"Le lot comprend un appartement et un local commercial d'une superficie totale de 230 m² sur un terrain de 530 m² chacun pourvu de parking :  Lot 1 : local commercial comprenant : un accueil, deux...";"ventes";"appartements";"Pap";"Possession";"97419"
"135000";"40.2";"2";"1";"T2 40,2 m² – Rez-de-jardin – Ravine à Marquet, La Possession  Coup de cœur assuré – Premier achat ou investissement rentable dans un secteur très recherché.   un séjour  une cuisine fonctionnelle ...";"ventes";"appartements";"Pap";"Possession";"97419"
"135000";"40.2";"2";"1";"T2 40,2 m² – Rez-de-jardin – Ravine à Marquet, La Possession  Coup de cœur assuré – Premier achat ou investissement rentable dans un secteur très recherché.   un séjour  une cuisine fonctionnelle ...";"ventes";"appartements";"Pap";"Possession";"97419"
"135000";"40.2";"2";"1";"T2 40,2 m² – Rez-de-jardin – Ravine à Marquet, La Possession  Coup de cœur assuré – Premier achat ou investissement rentable dans un secteur très recherché.   un séjour  une cuisine fonctionnelle ...";"ventes";"appartements";"Pap";"Possession";"97419"
"135000";"40.2";"2";"1";"T2 40,2 m² – Rez-de-jardin – Ravine à Marquet, La Possession  Coup de cœur assuré – Premier achat ou investissement rentable dans un secteur très recherché.   un séjour  une cuisine fonctionnelle ...";"ventes";"appartements";"Pap";"Possession";"97419"
"135000";"40.2";"2";"1";"T2 40,2 m² – Rez-de-jardin – Ravine à Marquet, La Possession  Coup de cœur assuré – Premier achat ou investissement rentable dans un secteur très recherché.   un séjour  une cuisine fonctionnelle ...";"ventes";"appartements";"Pap";"Possession";"97419"
"135000";"40.2";"2";"1";"T2 40,2 m² – Rez-de-jardin – Ravine à Marquet, La Possession  Coup de cœur assuré – Premier achat ou investissement rentable dans un secteur très recherché.   un séjour  une cuisine fonctionnelle ...";"ventes";"appartements";"Pap";"Possession";"97419"
"135000";"40.2";"2";"1";"T2 40,2 m² – Rez-de-jardin – Ravine à Marquet, La Possession  Coup de cœur assuré – Premier achat ou investissement rentable dans un secteur très recherché.   un séjour  une cuisine fonctionnelle ...";"ventes";"appartements";"Pap";"Possession";"97419"
"135000";"40.2";"2";"1";"T2 40,2 m² – Rez-de-jardin – Ravine à Marquet, La Possession  Coup de cœur assuré – Premier achat ou investissement rentable dans un secteur très recherché.   un séjour  une cuisine fonctionnelle ...";"ventes";"appartements";"Pap";"Possession";"97419"
"135000";"40.2";"2";"1";"T2 40,2 m² – Rez-de-jardin – Ravine à Marquet, La Possession  Coup de cœur assuré – Premier achat ou investissement rentable dans un secteur très recherché.   un séjour  une cuisine fonctionnelle ...";"ventes";"appartements";"Pap";"Possession";"97419"
"135000";"40.2";"2";"1";"T2 40,2 m² – Rez-de-jardin – Ravine à Marquet, La Possession  Coup de cœur assuré – Premier achat ou investissement rentable dans un secteur très recherché.   un séjour  une cuisine fonctionnelle ...";"ventes";"appartements";"Pap";"Possession";"97419"
"135000";"40.2";"2";"1";"T2 40,2 m² – Rez-de-jardin – Ravine à Marquet, La Possession  Coup de cœur assuré – Premier achat ou investissement rentable dans un secteur très recherché.   un séjour  une cuisine fonctionnelle ...";"ventes";"appartements";"Pap";"Possession";"97419"
"135000";"40.2";"2";"1";"T2 40,2 m² – Rez-de-jardin – Ravine à Marquet, La Possession  Coup de cœur assuré – Premier achat ou investissement rentable dans un secteur très recherché.   un séjour  une cuisine fonctionnelle ...";"ventes";"appartements";"Pap";"Possession";"97419"
"95000";"21.0";"1";"1";"Au sein d'une résidence calme et sécurisée située dans une impasse, bel appartement de type F1 en rez de jardin comprenant un espace de vie climatisé avec cuisine équipée, une salle d'eau, une...";"ventes";"appartements";"Pap";"Nouméa";"98800"
"95000";"21.0";"1";"1";"Au sein d'une résidence calme et sécurisée située dans une impasse, bel appartement de type F1 en rez de jardin comprenant un espace de vie climatisé avec cuisine équipée, une salle d'eau, une...";"ventes";"appartements";"Pap";"Nouméa";"98800"
"95000";"21.0";"1";"1";"Au sein d'une résidence calme et sécurisée située dans une impasse, bel appartement de type F1 en rez de jardin comprenant un espace de vie climatisé avec cuisine équipée, une salle d'eau, une...";"ventes";"appartements";"Pap";"Nouméa";"98800"
"95000";"21.0";"1";"1";"Au sein d'une résidence calme et sécurisée située dans une impasse, bel appartement de type F1 en rez de jardin comprenant un espace de vie climatisé avec cuisine équipée, une salle d'eau, une...";"ventes";"appartements";"Pap";"Nouméa";"98800"
"95000";"21.0";"1";"1";"Au sein d'une résidence calme et sécurisée située dans une impasse, bel appartement de type F1 en rez de jardin comprenant un espace de vie climatisé avec cuisine équipée, une salle d'eau, une...";"ventes";"appartements";"Pap";"Nouméa";"98800"
"95000";"21.0";"1";"1";"Au sein d'une résidence calme et sécurisée située dans une impasse, bel appartement de type F1 en rez de jardin comprenant un espace de vie climatisé avec cuisine équipée, une salle d'eau, une...";"ventes";"appartements";"Pap";"Nouméa";"98800"
"95000";"21.0";"1";"1";"Au sein d'une résidence calme et sécurisée située dans une impasse, bel appartement de type F1 en rez de jardin comprenant un espace de vie climatisé avec cuisine équipée, une salle d'eau, une...";"ventes";"appartements";"Pap";"Nouméa";"98800"
"95000";"21.0";"1";"1";"Au sein d'une résidence calme et sécurisée située dans une impasse, bel appartement de type F1 en rez de jardin comprenant un espace de vie climatisé avec cuisine équipée, une salle d'eau, une...";"ventes";"appartements";"Pap";"Nouméa";"98800"
"95000";"21.0";"1";"1";"Au sein d'une résidence calme et sécurisée située dans une impasse, bel appartement de type F1 en rez de jardin comprenant un espace de vie climatisé avec cuisine équipée, une salle d'eau, une...";"ventes";"appartements";"Pap";"Nouméa";"98800"
"95000";"21.0";"1";"1";"Au sein d'une résidence calme et sécurisée située dans une impasse, bel appartement de type F1 en rez de jardin comprenant un espace de vie climatisé avec cuisine équipée, une salle d'eau, une...";"ventes";"appartements";"Pap";"Nouméa";"98800"
"95000";"21.0";"1";"1";"Au sein d'une résidence calme et sécurisée située dans une impasse, bel appartement de type F1 en rez de jardin comprenant un espace de vie climatisé avec cuisine équipée, une salle d'eau, une...";"ventes";"appartements";"Pap";"Nouméa";"98800"
"95000";"21.0";"1";"1";"Au sein d'une résidence calme et sécurisée située dans une impasse, bel appartement de type F1 en rez de jardin comprenant un espace de vie climatisé avec cuisine équipée, une salle d'eau, une...";"ventes";"appartements";"Pap";"Nouméa";"98800"
"95000";"21.0";"1";"1";"Au sein d'une résidence calme et sécurisée située dans une impasse, bel appartement de type F1 en rez de jardin comprenant un espace de vie climatisé avec cuisine équipée, une salle d'eau, une...";"ventes";"appartements";"Pap";"Nouméa";"98800"
"95000";"21.0";"1";"1";"Au sein d'une résidence calme et sécurisée située dans une impasse, bel appartement de type F1 en rez de jardin comprenant un espace de vie climatisé avec cuisine équipée, une salle d'eau, une...";"ventes";"appartements";"Pap";"Nouméa";"98800"
"95000";"21.0";"1";"1";"Au sein d'une résidence calme et sécurisée située dans une impasse, bel appartement de type F1 en rez de jardin comprenant un espace de vie climatisé avec cuisine équipée, une salle d'eau, une...";"ventes";"appartements";"Pap";"Nouméa";"98800"
"80";"";"";"";"Entre métros Vaugirard et Volontaires, à l'angle rue Vaugirard et rue Cambronne. parking au sous-sol dans immeuble de standing. La dimension est 2.7 x 4.8 mètre.";"locations";"appartements";"Pap";"Paris";"75015"
"8192";"192.0";"";"";"Métro Javel. **2 surfaces de bureau de 95 et 97 m2 sont à louer séparément ou ensemble**. Les deux locaux ont un plateau central de 60 m2 avec une aile pour le complément. Ils sont pour l'essentiel...";"locations";"appartements";"Pap";"Paris";"75015"
"200";"";"";"";"Offre de Location – Emplacement de Parking Sécurisé – rue Montevideo 75116 Paris.  Nous proposons à la location un emplacement de stationnement situé au troisième sous-sol du 5/7 Rue Montevideo,...";"locations";"appartements";"Pap";"Paris";"75016"
"1090";"14.0";"";"";"Bureau de 14m2 disponible dans ce très beau centre refait à neuf, au rez-de-chaussée d'un immeuble de standing au coeur du quartier à la fois animé et résidentiel haut de gamme à proximité de la...";"locations";"appartements";"Pap";"Paris";"75017"
"300";"12.0";"";"";"Dans un centre pluridisciplinaire dédié à la fertilité et la santé des femmes de la puberté à la ménopause  ; nous vous proposons une Location de bureau neuf pour un thérapeute au 7 place du commerce...";"locations";"appartements";"Pap";"Paris";"75015"
"11985";"220.0";"";"";"Bureaux d'exception, place Wagram (75017). Emplacement privilégié : À proximité immédiate du nouveau Palais de Justice et du Parc Monceau Descriptif des bureaux Dans un immeuble haussmannien de haut...";"locations";"appartements";"Pap";"Paris";"75017"
"1600";"27.0";"1";"";"Appartement à la location sur la période du 16 avril au 16 mai et du 19 juillet au 31 Août 2026 Un vrai bijou ! Studio alcova avec coin nuit séparé. Rénové et finement décoré. Fonctionnel et tout...";"locations";"appartements";"Pap";"Paris";"75014"
"1480";"30.0";"1";"1";"Studio meublé lumineux – Kléber / Maillot / Trocadéro Dans un quartier recherché, à proximité immédiate de la place du Trocadéro, découvrez ce charmant studio meublé de 30 m² situé dans une résidence...";"locations";"appartements";"Pap";"Paris";"75016"
"1680";"42.5";"3";"2";"Proche plusieurs lignes de Bus, métro lignes 9 (Exelmans) et ligne 10 (Chardon Lagache, Michel Ange Molitor), RER C et Tramway.  **Appartement 3 pièces meublé** lumineux et calme au 2ème étage avec...";"locations";"appartements";"Pap";"Paris";"75016"
"8530";"167.0";"6";"4";"Paris 6ieme, 6/7 Pièces, 167 m2+14 m2 Loggia, 118 Rue de Vaugirard, Vue Tour Eiffel, Dôme des Invalide, Montmartre, 7ième étage avec ascenseur, interphone, immeuble grand standing années 70 avec...";"locations";"appartements";"Pap";"Paris";"75006"
"760";"12.0";"";"";"Bureau de consultation paramédical situé au cabinet DAMREMONT.  Beau quartier très passant à fort potentiel de développement, en demande d'infirmières(iers). Convient également à toute profession...";"locations";"appartements";"Pap";"Paris";"75018"
"1440";"48.0";"2";"1";"A 150 m du parc Montsouris au 22 rue d'Arcueil. 2 pièces 48 m2, comprenant : salon, chambre, cuisine (avec meubles de cuisine, plaque de cuisson, hotte), Salle de bains toilettes, nombreux...";"locations";"appartements";"Pap";"Paris";"75014"
"1300";"35.0";"3";"1";"En plein cœur du quartier latin, maison de ville, logement en souplex,  (35 m2) refait neuf, meublé.  Idéal pour étudiant ou couple, très calme.  Une grande chambre, un bureau très lumineux, un...";"locations";"appartements";"Pap";"Paris";"75005"
"2800";"62.0";"";"";"A louer en bail précaire un magnifique bureau de 62 m2 au 1er étage avec ascenseur , au pied du métro, idéalement situé rue Lafayette proche de 3 gares et de toutes commodités, très clair sans...";"locations";"appartements";"Pap";"Paris";"75010"
"120";"";"";"";"Place de parking dans une résidence récente sécurisée et bien éclairé  La place de parking se situe au deuxième sous-sol dans ce garage. Le déplacement est assez aisé. Place disponible de suite. Le...";"locations";"appartements";"Pap";"Paris";"75011"
"2160";"55.0";"2";"1";"Étoile, Villa Guizot, 2 pièces bien meublées, 55 m², calme et lumineux, 4e étage, exposition sud-Ouest, immeuble sécurisé, gardien, ascenseur, eau chaude et chauffage collectifs. Séjour avec...";"locations";"appartements";"Pap";"Paris";"75017"
"1720";"52.0";"2";"1";"PARIS 20E. Proche Gambetta et Place Martin Nadaud. 2 pièces 52 m2 meublé, entièrement équipé, double exposition rue et courette.  Immeuble Haussmannien pierre de taille, parquet, moulures, cheminée.";"locations";"appartements";"Pap";"Paris";"75020"
"200";"";"";"";"Parking à 10 mètres de la place des Vosges. 4 rue de Bearne.";"locations";"appartements";"Pap";"Paris";"75003"
"111";"";"";"";"Dans un parking sécurisé gardienné 24h/24. Box à louer à partir de 111  TTC par mois, payable par trimestre. Face Gare Rosa Parks.";"locations";"appartements";"Pap";"Paris";"75019"
"1995";"43.0";"";"";"Installez vos bureaux, locaux professionnels ou commerciaux, ou showrooms, à Paris. Rue de Paradis (proche Hauteville, 9ème et grands Boulevards) dans un quartier jeune, qui bouge, très bien desservi...";"locations";"appartements";"Pap";"Paris";"75010"
"1450";"37.75";"2";"1";"Joli 2 pièces meublé refait en 2025, Paris 16ème :  - 3ème étage avec ascenseur, - gardienne, - double exposition / lumineux, - cuisine séparée, - lave linge, - proche toutes commodités, - bus à 1...";"locations";"appartements";"Pap";"Paris";"75016"
"2200";"61.0";"3";"2";"A proximité immédiate des transports et de toutes commodités ! A Paris centre, appartement décoré avec goût, tout équipé loué meublé, au 4ème étage calme et très lumineux exposition Sud-Est. Nous le...";"locations";"appartements";"Pap";"Paris";"75014"
"100";"";"";"";"Place de parking au 4ᵉ sous-sol rue Legendre. Immeuble sécurisé avec passe et commande pour la porte du parking. Idéal pour une petite citadine ou une ou deux motos.";"locations";"appartements";"Pap";"Paris";"75017"
"70";"";"";"";"Parking au -1, pour véhicule léger uniquement ou 2 roues, dans une résidence bien entretenue de 1999. Protégé par une porte, ouverture avec télécommande radio, éclairage toute la nuit. Accès 24/24...";"locations";"appartements";"Pap";"Paris";"75019"
"1055";"28.0";"1";"";"Pied métro Exelmans. Proche commerces et marchés. Dans immeuble de standing, clair et calme. **Beau studio meublé de 29 m2**, composé d'un grand séjour + canapé 140*200 + mobilier vidéo, grande table...";"locations";"appartements";"Pap";"Paris";"75016"
"140";"";"";"";"Place de parking au 1er sous-sol d'un immeuble situé rue des moines. A quelques minutes à pied des stations de métro Brochant ou Guy Môquet. Accès direct par bip de parking. Loyer mensuel total de...";"locations";"appartements";"Pap";"Paris";"75017"
"1496";"36.0";"2";"1";"Location appartement joli 2 pièces 36 m2 rue Laugier Paris 17ème, dans le quartier privilégié du marché Poncelet, tous commerces et traiteurs, proche de la Place des Ternes (bus, métro, RER C), à 10...";"locations";"appartements";"Pap";"Paris";"75017"
"1500";"44.0";"2";"1";"Magnifique F2 de 44m² dans le 19e arrondissement proche du parc de la Villette et de la Philharmonie de Paris. Le quartier est très dynamique et citadin. Il se trouve à proximité des commerces (en...";"locations";"appartements";"Pap";"Paris";"75019"
"1190";"30.0";"2";"1";"Rue Pestalozzi près de la Place Monge dans immeuble pierre de taille, digicode. 2 pièces de charme de 30 m2 refait entièrement neuf au 6ème étage sans ascenseur.  **Belles prestations, lumineux...";"locations";"appartements";"Pap";"Paris";"75005"
"475";"8.0";"";"";"Bureaux privatifs de 8m2 à Paris 75010.  Travaillez dans un cadre calme, central et professionnel. Bureaux équipés accessibles du lundi au samedi de 6h à 22h avec un bail commercial de 3 ans (clause...";"locations";"appartements";"Pap";"Paris";"75010"
"2940";"95.0";"";"";"Métro Daumesnil.  Local  indépendant  sur 2 niveaux (rdc +1),  sur rue et cour, claire et calme. Composé de 4 bureaux indépendants Disponible courant 4ème trimestre 2026. Bail professionnel ou...";"locations";"appartements";"Pap";"Paris";"75012"
"1325";"33.0";"2";"1";"Métro Lourmel et Tram périphérique, rue Vasco de Gama, Paris 15, appartement meublé, 3ème étage sans ascenseur, deux pièces avec cuisine, salle de douche et toilette séparés. Cuisine équipée : plaque...";"locations";"appartements";"Pap";"Paris";"75015"
"2350";"59.0";"";"";"A 50 mètres de la place de Breteuil.  Local à usage de bureaux uniquement Exposé sud Calme.  Rez-de-chaussée : Boutique + arrière-boutique + wc Accès par vitrine + entrée par sas immeuble.  Chauffage...";"locations";"appartements";"Pap";"Paris";"75015"
"180";"";"";"";"Place de parking dans immeuble **près du Trocadéro, avenue Kléber et de la place Iéna**. Parking sécurisé accès avec télécommande. Libre au mois de Mars.";"locations";"appartements";"Pap";"Paris";"75116"
"225";"";"";"";"Découvrez ce parking idéalement situé dans le quartier prisé et ultra-central du Palais Royal (75001) à Paris. Ce stationnement est sécurisé à l'entrée et dans un espace propriétaire fermé et...";"locations";"appartements";"Pap";"Paris";"75001"
"2800";"59.0";"2";"1";"Superbe appartement meublé neuf et rénové avec des électroménagers neufs.  Situé rue MichelAnge, au 1er étage avec ascenseur d'un immeuble ancien, cet appartement a été rénové entièrement.  Le...";"locations";"appartements";"Pap";"Paris";"75016"
"120";"";"";"";"Proche Bastille et proche Marais , Boulevard Richard Lenoir, proche métros Bréguet-Sabin, Richard Lenoir et Chemin Vert, emplacement parking environ 12m². Garage sécurisé par 2 portes d'entrée...";"locations";"appartements";"Pap";"Paris";"75011"
"1450";"30.0";"";"";"2 pièces à Paris 12ᵉ - métro Nation. Usage de bureaux. Possibilité profession para-médicale.  30 m² en rez-de-chaussée sur jardin exposé au sud et au calme. cuisine - salle d'eau - wc séparés...";"locations";"appartements";"Pap";"Paris";"75012"
"1350";"17.0";"";"";"Très Beau bureau indépendant de 17 m² avec belle hauteur sous plafond et parquet, au sein de bureaux entièrement rénovés, dans un immeuble Pierre de Taille de très Grand Standing. Jouissance parties...";"locations";"appartements";"Pap";"Paris";"75116"
"1600";"39.0";"2";"1";"**Loft meublé de 39 m²**, 2 pièces, situé au 165 avenue Victor Hugo 75116 Paris, dans un bel immeuble ancien sur 2 niveaux (RDC et-1) sur cour au rez-de-chaussée. Ce loft se compose d'une entrée,...";"locations";"appartements";"Pap";"Paris";"75016"
"760";"12.0";"";"";"Bureau de consultation paramédical situé au cabinet DAMREMONT.  Beau quartier très passant à fort potentiel de développement, en demande d'infirmières(iers). Convient également à toute profession...";"locations";"appartements";"Pap";"Paris";"75018"
"100";"";"";"";"Place de parking à louer – 45 rue de Bagnolet, 75020 Paris.  Place de parking située au 1er sous-sol d’une résidence au 45 rue de Bagnolet dans le 20e arrondissement de Paris.  Accès très facile...";"locations";"appartements";"Pap";"Paris";"75020"
"1290";"21.0";"";"";"Au sein d'un appartement de bureaux qui totalise une surface de 60 m², nous vous proposons deux bureaux privatifs non meublés de 9 m² & 12 m² + accès libre à une salle de réunion de 20 m². Vous serez...";"locations";"appartements";"Pap";"Paris";"75015"
"835";"14.0";"1";"";"Logement Libre.  Merci de préciser votre situation : - université et/ou employeur - type de contrat / stage - revenus/bourse - caution VISALE ou équivalent ou mêmes informations pour le garant...";"locations";"appartements";"Pap";"Paris";"75010"
"4950";"150.0";"";"";"ENTREPÔT DE PLAIN-PIED AVEC BUREAUX – DISPONIBILITÉ IMMÉDIATE !  Aucun frais d’agence ni frais d’entrée !  Situé dans un environnement professionnel accessible et sécurisé, cet entrepôt fonctionnel...";"locations";"appartements";"Pap";"Paris";"75011"
"890";"18.0";"";"";"Au coeur de ce quartier commerçant, venez découvrir votre futur bureau à louer au mois, sans engagement, dans un espace entièrement neuf, proposant de nombreux services !  Plutôt que de louer votre...";"locations";"appartements";"Pap";"Paris";"75015"
"160";"";"";"";"**Parking à louer avec borne de recharge électrique !**  Nous proposons à la location un **emplacement de parking sécurisé**, idéalement situé et équipé d'une **borne de recharge pour véhicules...";"locations";"appartements";"Pap";"Paris";"75009"
"170";"";"";"";"Parking sécurisé à louer Paris 18ème, rue Marcadet, proche métro Lamarck (ligne12) et La fourche (ligne 13). 1er sous-sol, bip d'entrée  Libre mai 2026, location de préférence à long terme. Loyer...";"locations";"appartements";"Pap";"Paris";"75018"
"5500";"75.63";"";"";"Rez-de-chaussée : environ  75,63 m² Sous-sol : environ 28,31 m².  Idéal pour commerces de quartier, ce local commercial est doté d'une façade de 6,5 mètres et est situé dans le quartier historique...";"locations";"appartements";"Pap";"Paris";"75017"
